;2018;;;2019;;2020;;;Total general
;SEXO;;;;;;;;
MUNICIPIO  EDAD;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;
AGUADAS;;;;;;;;;
47;10;10;;11;11;9;7;;58
48;7;8;;9;5;14;8;;51
49;17;9;;11;8;13;15;;73
50;15;5;;21;10;11;7;;69
51;18;13;;11;14;16;10;;82
52;10;14;;14;12;14;16;;80
53;13;8;;21;14;14;18;;88
54;19;9;;22;17;25;14;;106
55;19;11;;21;17;28;16;;112
56;19;8;;18;24;29;16;;114
57;23;21;;15;15;27;16;;117
58;27;16;;15;19;24;18;;119
59;34;19;;28;22;28;27;;158
60;30;10;1;22;27;33;19;2;144
61;30;31;;35;21;41;18;;176
62;24;23;;33;19;38;35;;172
63;32;17;;43;28;52;26;;198
64;25;23;;38;28;43;35;;192
65;40;29;;40;27;44;29;;209
66;38;28;;33;19;39;29;;186
67;44;18;;35;37;52;40;;226
68;26;20;;42;34;47;28;;197
69;45;27;;31;27;63;33;;226
70;46;37;;43;27;49;32;;234
71;36;38;;45;28;50;27;;224
72;38;33;;44;34;52;25;;226
73;31;24;;43;34;58;47;;237
74;38;30;;44;32;63;41;;248
75;47;29;;38;41;53;39;;247
76;41;36;;40;49;59;44;;269
77;29;41;;44;56;70;46;;286
78;40;45;;52;30;65;48;;280
79;47;39;;44;31;60;51;;272
80;51;43;;39;48;72;55;;308
81;40;45;;43;42;54;57;;281
82;31;52;;57;59;57;57;;313
83;46;52;;50;58;67;65;;338
84;51;49;;38;53;55;56;;302
85;49;60;;49;55;64;60;;337
86;33;43;;42;53;66;56;;293
87;36;42;;37;58;43;62;;278
88;42;49;;39;49;49;43;;271
89;44;46;;38;48;40;53;;269
90;24;38;;29;44;37;48;;220
91;17;43;;21;47;25;40;;193
92;17;32;;24;30;27;40;;170
93;16;26;;22;20;20;36;;140
94;20;22;;12;18;21;30;;123
95;8;15;;12;23;20;19;;97
96;7;15;;9;15;12;17;;75
97;5;11;;4;12;4;4;;40
98;2;11;;4;18;2;5;;42
99;5;5;;2;9;4;5;;30
Edad desconocida;;;;;;1;;1;2
MANZANARES;;;;;;;;;
< 1año;3;;;;;;1;;4
0;1;;;;;;2;;3
4;;;;1;;;;;1
12;;;;1;;;;;1
13;;;;1;;;;;1
16;1;;;;;1;;;2
17;2;;;1;;;;;3
19;;;;1;;;;;1
22;;;;1;;;;;1
23;;;;1;;;;;1
25;;1;;;;;;;1
27;;;;;;2;;;2
32;1;;;;;;;;1
33;;1;;;;;;;1
35;;;;1;;1;1;;3
37;;1;;;1;;;;2
38;;;;1;;;;;1
42;1;;;;;;;;1
43;;;;2;;;;;2
44;;;;;;;1;;1
45;1;;;;1;1;;;3
47;1;;;;;;1;;2
48;1;;;;;;;;1
49;;;;1;;;;;1
50;;;;1;;;;;1
51;;1;;;;;;;1
52;;;;1;;;;;1
53;;;;;1;1;;;2
54;;;;1;;;;;1
55;;;;1;1;;;;2
56;;;;;;;1;;1
57;;;;;;1;;;1
58;1;;;;;;;;1
59;;;;;;2;1;;3
60;;1;;;;;;;1
61;1;;;1;;;3;;5
62;;;;;1;;1;;2
63;1;;;;1;1;;;3
64;1;;;2;1;2;;;6
65;1;;;;;;1;;2
66;;;;;1;;1;;2
67;1;;;;;2;;;3
69;;;;2;;;1;;3
70;1;;;;1;1;1;;4
71;1;;;1;2;;;;4
72;1;1;;;1;;;;3
73;1;;;1;;1;3;;6
74;2;1;;;1;;;;4
75;3;1;;1;1;1;2;;9
76;1;2;;;2;;;;5
77;2;;;3;2;3;;;10
78;2;1;;1;;;;;4
79;2;2;;1;;1;;;6
80;;1;;2;3;;;;6
81;2;2;;1;1;;;;6
82;1;3;;;1;;3;;8
83;3;1;;;;;;;4
84;;2;;1;1;1;1;;6
85;;1;;3;1;2;2;;9
86;;1;;3;1;3;;;8
87;3;2;;;;3;1;;9
88;1;;;;2;1;;;4
89;;;;;1;2;;;3
90;;1;;1;2;;;;4
91;1;;;;;2;;;3
92;;;;;2;;3;;5
93;;;;1;;;3;;4
94;2;;;;;1;;;3
95;;;;;1;;;;1
97;;;;;1;1;;;2
98;;;;2;1;;1;;4
99;;;;;1;;;;1
MARMATO;;;;;;;;;
0;;;;;;;1;;1
17;;;;1;;;;;1
18;;;;;;1;;;1
19;;;;;;1;;;1
23;;;;;;1;;;1
25;2;;;2;1;1;;;6
27;1;;;1;;;;;2
28;1;;;;;;;;1
29;;;;;;1;;;1
30;;;;;;1;;;1
31;1;;;;;1;;;2
32;1;;;;;1;;;2
34;;;;1;;;;;1
36;1;1;;;;;;;2
38;1;;;1;;1;;;3
40;;;;;;1;;;1
41;;1;;;;;;;1
42;1;;;1;;1;;;3
44;1;;;;;;1;;2
45;;;;1;;;;;1
46;1;;;;;;;;1
48;;;;1;;;;;1
49;1;;;;;1;;;2
51;;;;;;1;;;1
52;1;;;;;;;;1
55;;;;1;1;;;;2
56;;;;;;2;;;2
57;1;;;;;;;;1
59;;;;;;2;;;2
60;1;1;;;;;;;2
61;;;;;;2;;;2
63;;1;;;1;1;;;3
66;;;;;1;1;;;2
67;;;;1;;;1;;2
68;;;;;;1;;;1
69;1;;;;;;;;1
71;1;;;;;1;;;2
72;2;;;;;;1;;3
74;;;;;;1;;;1
75;1;;;;1;;;;2
76;;1;;;;1;1;;3
78;;;;;1;;;;1
79;2;;;1;;;;;3
81;;1;;;;;;;1
83;1;;;1;;;;;2
84;1;;;;1;;;;2
85;1;;;;;;;;1
86;;;;;;;3;;3
89;;;;;;1;;;1
90;;;;1;1;;1;;3
91;;;;;1;;;;1
92;2;;;;;;;;2
93;;1;;;;;;;1
95;;1;;;;;;;1
96;;1;;;;;1;;2
MARQUETALIA;;;;;;;;;
< 1año;;1;;;;;;;1
0;;;;;1;;;;1
1;;1;;;;;;;1
3;;;;;;1;;;1
6;1;;;;;;;;1
10;;1;;;;;;;1
18;;;;;1;1;;;2
20;1;;;;;;;;1
21;;1;;;;;;;1
25;1;;;;;;;;1
28;;;;1;;;;;1
31;;1;;1;;;;;2
33;;1;;;;;;;1
34;1;;;;;;;;1
40;;1;;;1;;1;;3
41;1;;;;;;;;1
42;1;;;;;;;;1
43;;;;1;;;;;1
44;;;;;;1;;;1
